,date,region,new_confirmed,1_day_shift,7_day_avg,2_day_shift,3_day_shift,7_day_shift
2602,2020-11-06,East South Central,6124.0,7230.0,5950.714285714285,7689.0,5160.0,6641.0
2611,2020-11-07,East South Central,10026.0,6124.0,6558.142857142857,7230.0,7689.0,5774.0
2620,2020-11-08,East South Central,6822.0,10026.0,6930.285714285715,6124.0,7230.0,4217.0
2629,2020-11-09,East South Central,9334.0,6822.0,7483.571428571428,10026.0,6124.0,5461.0
2638,2020-11-10,East South Central,6701.0,9334.0,7703.714285714285,6822.0,10026.0,5160.0
2647,2020-11-11,East South Central,9656.0,6701.0,7984.714285714285,9334.0,6822.0,7689.0
2656,2020-11-12,East South Central,8951.0,9656.0,8230.57142857143,6701.0,9334.0,7230.0
2665,2020-11-13,East South Central,11182.0,8951.0,8953.142857142857,9656.0,6701.0,6124.0
2674,2020-11-14,East South Central,11551.0,11182.0,9171.0,8951.0,9656.0,10026.0
2683,2020-11-15,East South Central,10214.0,11551.0,9655.57142857143,11182.0,8951.0,6822.0
2692,2020-11-16,East South Central,11461.0,10214.0,9959.42857142857,11551.0,11182.0,9334.0
2701,2020-11-17,East South Central,7273.0,11461.0,10041.142857142857,10214.0,11551.0,6701.0
2710,2020-11-18,East South Central,11448.0,7273.0,10297.142857142857,11461.0,10214.0,9656.0
2719,2020-11-19,East South Central,10343.0,11448.0,10496.0,7273.0,11461.0,8951.0
2728,2020-11-20,East South Central,11361.0,10343.0,10521.57142857143,11448.0,7273.0,11182.0
2737,2020-11-21,East South Central,12364.0,11361.0,10637.714285714286,10343.0,11448.0,11551.0
2746,2020-11-22,East South Central,9358.0,12364.0,10515.42857142857,11361.0,10343.0,10214.0
