date,region,new_confirmed
2020-03-24,West South Central,710.0
2020-03-25,East North Central,1904.0
2020-03-25,East South Central,275.0
2020-03-25,Mid-Atlantic,6148.0
2020-03-25,Mountain,418.0
2020-03-25,New England,1045.0
2020-03-25,Pacific,761.0
2020-03-25,South Atlantic,996.0
2020-03-25,West North Central,306.0
2020-03-25,West South Central,790.0
2020-03-26,East North Central,2283.0
2020-03-26,East South Central,545.0
2020-03-26,Mid-Atlantic,9482.0
2020-03-26,Mountain,711.0
2020-03-26,New England,819.0
2020-03-26,Pacific,1105.0
2020-03-26,South Atlantic,1236.0
2020-03-26,West North Central,315.0
2020-03-26,West South Central,1068.0
2020-03-27,East North Central,2581.0
2020-03-27,East South Central,471.0
2020-03-27,Mid-Atlantic,9859.0
2020-03-27,Mountain,794.0
2020-03-27,New England,1200.0
2020-03-27,Pacific,1460.0
2020-03-27,South Atlantic,1576.0
2020-03-27,West North Central,365.0
2020-03-27,West South Central,898.0
2020-03-28,East North Central,2216.0
2020-03-28,East South Central,417.0
2020-03-28,Mid-Atlantic,10513.0
2020-03-28,Mountain,798.0
2020-03-28,New England,1412.0
2020-03-28,Pacific,1319.0
2020-03-28,South Atlantic,1738.0
2020-03-28,West North Central,378.0
2020-03-28,West South Central,964.0
2020-03-29,East North Central,2695.0
2020-03-29,East South Central,461.0
2020-03-29,Mid-Atlantic,10100.0
2020-03-29,Mountain,588.0
2020-03-29,New England,1379.0
2020-03-29,Pacific,1631.0
2020-03-29,South Atlantic,1850.0
2020-03-29,West North Central,185.0
2020-03-29,West South Central,803.0
2020-03-30,East North Central,2738.0
2020-03-30,East South Central,484.0
2020-03-30,Mid-Atlantic,10927.0
2020-03-30,Mountain,1002.0
2020-03-30,New England,1553.0
2020-03-30,Pacific,1129.0
2020-03-30,South Atlantic,1899.0
2020-03-30,West North Central,486.0
2020-03-30,West South Central,906.0
2020-03-31,East North Central,3030.0
2020-03-31,East South Central,658.0
2020-03-31,Mid-Atlantic,12114.0
2020-03-31,Mountain,846.0
2020-03-31,New England,1616.0
2020-03-31,Pacific,1376.0
2020-03-31,South Atlantic,2995.0
2020-03-31,West North Central,566.0
2020-03-31,West South Central,1738.0
2020-04-01,East North Central,3568.0
2020-04-01,East South Central,787.0
2020-04-01,Mid-Atlantic,12438.0
2020-04-01,Mountain,980.0
2020-04-01,New England,1763.0
2020-04-01,Pacific,1337.0
2020-04-01,South Atlantic,2601.0
2020-04-01,West North Central,498.0
2020-04-01,West South Central,2132.0
2020-04-02,East North Central,2893.0
2020-04-02,East South Central,511.0
2020-04-02,Mid-Atlantic,13215.0
2020-04-02,Mountain,1043.0
2020-04-02,New England,1692.0
2020-04-02,Pacific,1605.0
2020-04-02,South Atlantic,3007.0
2020-04-02,West North Central,563.0
2020-04-02,West South Central,3614.0
2020-04-03,East North Central,3443.0
2020-04-03,East South Central,692.0
2020-04-03,Mid-Atlantic,16191.0
2020-04-03,Mountain,1134.0
2020-04-03,New England,2775.0
2020-04-03,Pacific,2090.0
2020-04-03,South Atlantic,3057.0
2020-04-03,West North Central,564.0
2020-04-03,West South Central,1976.0
2020-04-04,East North Central,3611.0
2020-04-04,East South Central,560.0
2020-04-04,Mid-Atlantic,16667.0
2020-04-04,Mountain,1313.0
2020-04-04,New England,2008.0
2020-04-04,Pacific,1845.0
2020-04-04,South Atlantic,3245.0
2020-04-04,West North Central,462.0
2020-04-04,West South Central,3197.0
2020-04-05,East North Central,2705.0
2020-04-05,East South Central,797.0
2020-04-05,Mid-Atlantic,13201.0
2020-04-05,Mountain,1049.0
2020-04-05,New England,1459.0
2020-04-05,Pacific,1966.0
2020-04-05,South Atlantic,2876.0
2020-04-05,West North Central,357.0
2020-04-05,West South Central,1375.0
2020-04-06,East North Central,3496.0
2020-04-06,East South Central,479.0
2020-04-06,Mid-Atlantic,13713.0
2020-04-06,Mountain,727.0
2020-04-06,New England,2880.0
2020-04-06,Pacific,1216.0
2020-04-06,South Atlantic,2621.0
2020-04-06,West North Central,756.0
2020-04-06,West South Central,2457.0
2020-04-07,East North Central,3559.0
2020-04-07,East South Central,717.0
2020-04-07,Mid-Atlantic,13079.0
2020-04-07,Mountain,730.0
2020-04-07,New England,2585.0
2020-04-07,Pacific,1793.0
2020-04-07,South Atlantic,4685.0
2020-04-07,West North Central,656.0
2020-04-07,West South Central,2621.0
2020-04-08,East North Central,3646.0
2020-04-08,East South Central,703.0
2020-04-08,Mid-Atlantic,15154.0
2020-04-08,Mountain,964.0
